DISTRICT,SchoolName,district_schoolname,tested or not?,not found in testing data list,count of schools
Newark Unified,John F. Kennedy Elementary,Newark Unified_John F. Kennedy Elementary,#N/A,TRUE,6
Newark Unified,Lincoln Elementary,Newark Unified_Lincoln Elementary,#N/A,TRUE,25
New Haven Unified,Alvarado Elementary,New Haven Unified_Alvarado Elementary,#N/A,TRUE,3
New Haven Unified,Cesar Chavez Middle,New Haven Unified_Cesar Chavez Middle,#N/A,TRUE,4
Fremont Unified,Cabrillo Elementary,Fremont Unified_Cabrillo Elementary,#N/A,TRUE,3
Fremont Unified,Washington High,Fremont Unified_Washington High,#N/A,TRUE,2
Livermore Valley Joint Unified,Sunset Elementary,Livermore Valley Joint Unified_Sunset Elementary,#N/A,TRUE,6
San Lorenzo Unified,Hillside Elementary,San Lorenzo Unified_Hillside Elementary,#N/A,TRUE,2
San Lorenzo Unified,Grant Elementary,San Lorenzo Unified_Grant Elementary,#N/A,TRUE,9
West Contra Costa Unified,Harding Elementary,West Contra Costa Unified_Harding Elementary,#N/A,TRUE,3
West Contra Costa Unified,Wilson Elementary,West Contra Costa Unified_Wilson Elementary,#N/A,TRUE,15
West Contra Costa Unified,"Martin Luther King, Jr. Elementary","West Contra Costa Unified_Martin Luther King, Jr. Elementary",#N/A,TRUE,2
Alameda Unified,Franklin Elementary,Alameda Unified_Franklin Elementary,#N/A,TRUE,14
West Contra Costa Unified,Highland Elementary,West Contra Costa Unified_Highland Elementary,#N/A,TRUE,6
West Contra Costa Unified,Washington Elementary,West Contra Costa Unified_Washington Elementary,#N/A,TRUE,23
West Contra Costa Unified,Lincoln Elementary,West Contra Costa Unified_Lincoln Elementary,#N/A,TRUE,25
Oakland Unified,Sequoia Elementary,Oakland Unified_Sequoia Elementary,#N/A,TRUE,9
Piedmont City Unified,Piedmont Middle,Piedmont City Unified_Piedmont Middle,#N/A,TRUE,2
Berkeley Unified,Emerson Elementary,Berkeley Unified_Emerson Elementary,#N/A,TRUE,5
Oakland Unified,Emerson Elementary,Oakland Unified_Emerson Elementary,#N/A,TRUE,5
San Ramon Valley Unified,Vista Grande Elementary,San Ramon Valley Unified_Vista Grande Elementary,#N/A,TRUE,4
San Leandro Unified,Roosevelt Elementary,San Leandro Unified_Roosevelt Elementary,#N/A,TRUE,15
San Leandro Unified,Madison Elementary,San Leandro Unified_Madison Elementary,#N/A,TRUE,10
San Leandro Unified,Monroe Elementary,San Leandro Unified_Monroe Elementary,#N/A,TRUE,7
San Leandro Unified,Wilson Elementary,San Leandro Unified_Wilson Elementary,#N/A,TRUE,15
San Leandro Unified,John Muir Middle,San Leandro Unified_John Muir Middle,#N/A,TRUE,4
San Leandro Unified,Jefferson Elementary,San Leandro Unified_Jefferson Elementary,#N/A,TRUE,22
San Leandro Unified,McKinley Elementary,San Leandro Unified_McKinley Elementary,#N/A,TRUE,18
Hayward Unified,Fairview Elementary,Hayward Unified_Fairview Elementary,#N/A,TRUE,6
San Lorenzo Unified,Key Academy Charter School,San Lorenzo Unified_Key Academy Charter School,#N/A,TRUE,1
Hayward Unified,Burbank Elementary,Hayward Unified_Burbank Elementary,#N/A,TRUE,4
Hayward Unified,Cesar Chavez Middle,Hayward Unified_Cesar Chavez Middle,#N/A,TRUE,4
San Ramon Valley Unified School District,Bella Vista Elementary,San Ramon Valley Unified School District_Bella Vista Elementary,#N/A,TRUE,5
Amador County Unified,Jackson Elementary,Amador County Unified_Jackson Elementary,#N/A,TRUE,5
Chico Unified,Shasta Elementary,Chico Unified_Shasta Elementary,#N/A,TRUE,3
Chico Unified,Sierra View Elementary,Chico Unified_Sierra View Elementary,#N/A,TRUE,3
Gridley Unified,McKinley Elementary,Gridley Unified_McKinley Elementary,#N/A,TRUE,18
Gridley Unified,Wilson Elementary,Gridley Unified_Wilson Elementary,#N/A,TRUE,15
Oroville City Elementary,Stanford Avenue Elementary,Oroville City Elementary_Stanford Avenue Elementary,#N/A,TRUE,2
Mark Twain Union Elementary,Mark Twain Elementary,Mark Twain Union Elementary_Mark Twain Elementary,#N/A,TRUE,6
Maxwell Unified,Maxwell Elementary,Maxwell Unified_Maxwell Elementary,#N/A,TRUE,2
Antioch Unified,Grant Elementary,Antioch Unified_Grant Elementary,#N/A,TRUE,9
Mt. Diablo Unified,Rio Vista Elementary,Mt. Diablo Unified_Rio Vista Elementary,#N/A,TRUE,6
Mt. Diablo Unified,Westwood Elementary,Mt. Diablo Unified_Westwood Elementary,#N/A,TRUE,5
Mt. Diablo Unified,Cambridge Elementary,Mt. Diablo Unified_Cambridge Elementary,#N/A,TRUE,2
Mt. Diablo Unified,Fair Oaks Elementary,Mt. Diablo Unified_Fair Oaks Elementary,#N/A,TRUE,3
Mt. Diablo Unified,Sequoia Middle,Mt. Diablo Unified_Sequoia Middle,#N/A,TRUE,7
Mt. Diablo Unified,Sequoia Elementary,Mt. Diablo Unified_Sequoia Elementary,#N/A,TRUE,9
Martinez Unified,John Muir Elementary,Martinez Unified_John Muir Elementary,#N/A,TRUE,8
Pittsburg Unified,Foothill Elementary,Pittsburg Unified_Foothill Elementary,#N/A,TRUE,6
Pittsburg Unified,Highlands Elementary,Pittsburg Unified_Highlands Elementary,#N/A,TRUE,4
Rescue Union Elementary,Green Valley Elementary,Rescue Union Elementary_Green Valley Elementary,#N/A,TRUE,2
Rescue Union Elementary,Jackson Elementary,Rescue Union Elementary_Jackson Elementary,#N/A,TRUE,5
Clovis Unified,Cedarwood Elementary,Clovis Unified_Cedarwood Elementary,#N/A,TRUE,2
Clovis Unified,Garfield Elementary,Clovis Unified_Garfield Elementary,#N/A,TRUE,10
Clovis Unified,Jefferson Elementary,Clovis Unified_Jefferson Elementary,#N/A,TRUE,22
Clovis Unified,Sierra Vista Elementary,Clovis Unified_Sierra Vista Elementary,#N/A,TRUE,6
Coalinga-Huron Unified,Sunset Elementary,Coalinga-Huron Unified_Sunset Elementary,#N/A,TRUE,6
Sanger Unified,Sequoia Elementary,Sanger Unified_Sequoia Elementary,#N/A,TRUE,9
Fresno Unified,Sequoia Middle,Fresno Unified_Sequoia Middle,#N/A,TRUE,7
Fresno Unified,Lowell Elementary,Fresno Unified_Lowell Elementary,#N/A,TRUE,4
Fresno Unified,Birney Elementary,Fresno Unified_Birney Elementary,#N/A,TRUE,4
Clovis Unified,Lincoln Elementary,Clovis Unified_Lincoln Elementary,#N/A,TRUE,25
Fresno Unified,Susan B. Anthony Elementary,Fresno Unified_Susan B. Anthony Elementary,#N/A,TRUE,5
Fresno Unified,Webster Elementary,Fresno Unified_Webster Elementary,#N/A,TRUE,5
Fresno Unified,Columbia Elementary,Fresno Unified_Columbia Elementary,#N/A,TRUE,6
Fresno Unified,Hamilton Elementary,Fresno Unified_Hamilton Elementary,#N/A,TRUE,5
Fresno Unified,Jackson Elementary,Fresno Unified_Jackson Elementary,#N/A,TRUE,5
Fresno Unified,Jefferson Elementary,Fresno Unified_Jefferson Elementary,#N/A,TRUE,22
Fresno Unified,Sunset Elementary,Fresno Unified_Sunset Elementary,#N/A,TRUE,6
Mendota Unified,Washington Elementary,Mendota Unified_Washington Elementary,#N/A,TRUE,23
Kings Canyon Joint Unified,Lincoln Elementary,Kings Canyon Joint Unified_Lincoln Elementary,#N/A,TRUE,25
Kings Canyon Joint Unified,Jefferson Elementary,Kings Canyon Joint Unified_Jefferson Elementary,#N/A,TRUE,22
Sanger Unified,Wilson Elementary,Sanger Unified_Wilson Elementary,#N/A,TRUE,15
Southern Humboldt Joint Unified,Agnes J. Johnson  Elementary,Southern Humboldt Joint Unified_Agnes J. Johnson Elementary,#N/A,TRUE,1
Eureka City Schools,Alice Birney Elementary,Eureka City Schools_Alice Birney Elementary,#N/A,TRUE,2
Eureka City Schools,Washington Elementary,Eureka City Schools_Washington Elementary,#N/A,TRUE,23
Garfield Elementary,Garfield Elementary,Garfield Elementary_Garfield Elementary,#N/A,TRUE,10
Eureka City Schools,Grant Elementary,Eureka City Schools_Grant Elementary,#N/A,TRUE,9
Calexico Unified,Cesar Chavez Elementary,Calexico Unified_Cesar Chavez Elementary,#N/A,TRUE,6
El Centro Elementary,Harding Elementary,El Centro Elementary_Harding Elementary,#N/A,TRUE,3
El Centro Elementary,Lincoln Elementary,El Centro Elementary_Lincoln Elementary,#N/A,TRUE,25
El Centro Elementary,Martin Luther King Jr. Elementary,El Centro Elementary_Martin Luther King Jr. Elementary,#N/A,TRUE,3
El Centro Elementary,McKinley Elementary,El Centro Elementary_McKinley Elementary,#N/A,TRUE,18
Bakersfield City,Evergreen Elementary,Bakersfield City_Evergreen Elementary,#N/A,TRUE,5
Bakersfield City,Franklin Elementary,Bakersfield City_Franklin Elementary,#N/A,TRUE,14
Bakersfield City,Fremont Elementary,Bakersfield City_Fremont Elementary,#N/A,TRUE,9
Bakersfield City,Jefferson Elementary,Bakersfield City_Jefferson Elementary,#N/A,TRUE,22
Bakersfield City,Longfellow Elementary,Bakersfield City_Longfellow Elementary,#N/A,TRUE,6
Bakersfield City,Horace Mann Elementary,Bakersfield City_Horace Mann Elementary,#N/A,TRUE,4
Bakersfield City,McKinley Elementary,Bakersfield City_McKinley Elementary,#N/A,TRUE,18
Bakersfield City,Roosevelt Elementary,Bakersfield City_Roosevelt Elementary,#N/A,TRUE,15
Bakersfield City,Sequoia Middle,Bakersfield City_Sequoia Middle,#N/A,TRUE,7
Greenfield Union,Fairview Elementary,Greenfield Union_Fairview Elementary,#N/A,TRUE,6
Delano Union Elementary,Fremont Elementary,Delano Union Elementary_Fremont Elementary,#N/A,TRUE,9
Delano Union Elementary,Terrace Elementary,Delano Union Elementary_Terrace Elementary,#N/A,TRUE,2
Kern County Superintendent ,Wonderful College Prep Academy,Kern County Superintendent_Wonderful College Prep Academy,#N/A,TRUE,2
Richland Union Elementary,Redwood Elementary,Richland Union Elementary_Redwood Elementary,#N/A,TRUE,2
Richland Union Elementary,Sequoia Elementary,Richland Union Elementary_Sequoia Elementary,#N/A,TRUE,9
Taft City,Roosevelt Elementary,Taft City_Roosevelt Elementary,#N/A,TRUE,15
Rosedale Union Elementary,Independence Elementary,Rosedale Union Elementary_Independence Elementary,#N/A,TRUE,2
Kern High,Liberty High,Kern High_Liberty High,#N/A,TRUE,3
Kern High,Independence High,Kern High_Independence High,#N/A,TRUE,4
Fruitvale Elementary,Columbia Elementary,Fruitvale Elementary_Columbia Elementary,#N/A,TRUE,6
Pioneer Union Elementary,Pioneer Elementary,Pioneer Union Elementary_Pioneer Elementary,#N/A,TRUE,7
Hanford Elementary,Monroe Elementary,Hanford Elementary_Monroe Elementary,#N/A,TRUE,7
Lemoore Union Elementary,Bridges Academy,Lemoore Union Elementary_Bridges Academy,#N/A,TRUE,3
Susanville Elementary,McKinley Elementary,Susanville Elementary_McKinley Elementary,#N/A,TRUE,18
Alhambra Unified,Ramona Elementary,Alhambra Unified_Ramona Elementary,#N/A,TRUE,6
Alhambra Unified,Fremont Elementary,Alhambra Unified_Fremont Elementary,#N/A,TRUE,9
West Covina Unified,Monte Vista Elementary,West Covina Unified_Monte Vista Elementary,#N/A,TRUE,9
Azusa Unified,Magnolia Elementary,Azusa Unified_Magnolia Elementary,#N/A,TRUE,6
Azusa Unified,Sierra High,Azusa Unified_Sierra High,#N/A,TRUE,3
Azusa Unified,Foothill Middle,Azusa Unified_Foothill Middle,#N/A,TRUE,2
Bellflower Unified,Ramona Elementary,Bellflower Unified_Ramona Elementary,#N/A,TRUE,6
Saugus Union,Highlands Elementary,Saugus Union_Highlands Elementary,#N/A,TRUE,4
Saugus Union,Rio Vista Elementary,Saugus Union_Rio Vista Elementary,#N/A,TRUE,6
Compton Unified,Carver Elementary,Compton Unified_Carver Elementary,#N/A,TRUE,4
Claremont Unified,Chaparral Elementary,Claremont Unified_Chaparral Elementary,#N/A,TRUE,6
Compton Unified,Emerson Elementary,Compton Unified_Emerson Elementary,#N/A,TRUE,5
Compton Unified,Longfellow Elementary,Compton Unified_Longfellow Elementary,#N/A,TRUE,6
Compton Unified,Roosevelt Elementary,Compton Unified_Roosevelt Elementary,#N/A,TRUE,15
Compton Unified,Roosevelt Middle,Compton Unified_Roosevelt Middle,#N/A,TRUE,4
Compton Unified,Washington Elementary,Compton Unified_Washington Elementary,#N/A,TRUE,23
Glendale Unified,Abraham Lincoln Elementary,Glendale Unified_Abraham Lincoln Elementary,#N/A,TRUE,7
Glendale Unified,Monte Vista Elementary,Glendale Unified_Monte Vista Elementary,#N/A,TRUE,9
El Monte Union High,Arroyo High,El Monte Union High_Arroyo High,#N/A,TRUE,2
Glendale Unified,John C. Fremont Elementary,Glendale Unified_John C. Fremont Elementary,#N/A,TRUE,4
Glendale Unified,Horace Mann Elementary,Glendale Unified_Horace Mann Elementary,#N/A,TRUE,4
Glendale Unified,John Muir Elementary,Glendale Unified_John Muir Elementary,#N/A,TRUE,8
Charter Oak Unified,Washington Elementary,Charter Oak Unified_Washington Elementary,#N/A,TRUE,23
Pasadena Unified,Franklin Elementary,Pasadena Unified_Franklin Elementary,#N/A,TRUE,14
Long Beach Unified,Addams Elementary,Long Beach Unified_Addams Elementary,#N/A,TRUE,2
Long Beach Unified,Grant Elementary,Long Beach Unified_Grant Elementary,#N/A,TRUE,9
Long Beach Unified,McKinley Elementary,Long Beach Unified_McKinley Elementary,#N/A,TRUE,18
Long Beach Unified,Webster Elementary,Long Beach Unified_Webster Elementary,#N/A,TRUE,5
Long Beach Unified,Longfellow Elementary,Long Beach Unified_Longfellow Elementary,#N/A,TRUE,6
Long Beach Unified,Garfield Elementary,Long Beach Unified_Garfield Elementary,#N/A,TRUE,10
Lancaster Elementary,Lincoln Elementary,Lancaster Elementary_Lincoln Elementary,#N/A,TRUE,25
Lynwood Unified,Cesar Chavez Middle,Lynwood Unified_Cesar Chavez Middle,#N/A,TRUE,4
Lynwood Unified,Lincoln Elementary,Lynwood Unified_Lincoln Elementary,#N/A,TRUE,25
Lynwood Unified,Mark Twain Elementary,Lynwood Unified_Mark Twain Elementary,#N/A,TRUE,6
Lynwood Unified,Washington Elementary,Lynwood Unified_Washington Elementary,#N/A,TRUE,23
